danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,type_x,id,uri_x,track_href_x,analysis_url_x,duration_ms_x,time_signature_x,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,type_y,uri_y,track_href_y,analysis_url_y,duration_ms_y,time_signature_y
0.758,0.557,7,-4.568,1,0.034,0.0117,0.0,0.0418,0.781,126.986,audio_features,2fQxE0jVrjNMT9oJAXtSJR,spotify:track:2fQxE0jVrjNMT9oJAXtSJR,https://api.spotify.com/v1/tracks/2fQxE0jVrjNMT9oJAXtSJR,https://api.spotify.com/v1/audio-analysis/2fQxE0jVrjNMT9oJAXtSJR,231840,4,0.758,0.557,7,-4.568,1,0.034,0.0117,0.0,0.0418,0.781,126.986,audio_features,spotify:track:2fQxE0jVrjNMT9oJAXtSJR,https://api.spotify.com/v1/tracks/2fQxE0jVrjNMT9oJAXtSJR,https://api.spotify.com/v1/audio-analysis/2fQxE0jVrjNMT9oJAXtSJR,231840,4
0.707,0.724,11,-3.887,0,0.051,0.0448,0.0,0.072,0.659,108.984,audio_features,1KzW2k1dNh9nJrK6WhneTW,spotify:track:1KzW2k1dNh9nJrK6WhneTW,https://api.spotify.com/v1/tracks/1KzW2k1dNh9nJrK6WhneTW,https://api.spotify.com/v1/audio-analysis/1KzW2k1dNh9nJrK6WhneTW,250107,4,0.707,0.724,11,-3.887,0,0.051,0.0448,0.0,0.072,0.659,108.984,audio_features,spotify:track:1KzW2k1dNh9nJrK6WhneTW,https://api.spotify.com/v1/tracks/1KzW2k1dNh9nJrK6WhneTW,https://api.spotify.com/v1/audio-analysis/1KzW2k1dNh9nJrK6WhneTW,250107,4
0.807,0.354,9,-7.554,1,0.0321,0.15,0.713,0.186,0.602,78.964,audio_features,0b6xZk9f96N77BfmYWnQNC,spotify:track:0b6xZk9f96N77BfmYWnQNC,https://api.spotify.com/v1/tracks/0b6xZk9f96N77BfmYWnQNC,https://api.spotify.com/v1/audio-analysis/0b6xZk9f96N77BfmYWnQNC,155722,4,0.807,0.354,9,-7.554,1,0.0321,0.15,0.713,0.186,0.602,78.964,audio_features,spotify:track:0b6xZk9f96N77BfmYWnQNC,https://api.spotify.com/v1/tracks/0b6xZk9f96N77BfmYWnQNC,https://api.spotify.com/v1/audio-analysis/0b6xZk9f96N77BfmYWnQNC,155722,4
0.572,0.814,8,-4.249,1,0.0465,0.109,0.0,0.0844,0.688,176.061,audio_features,14FpkTBexkWIoquqluEymo,spotify:track:14FpkTBexkWIoquqluEymo,https://api.spotify.com/v1/tracks/14FpkTBexkWIoquqluEymo,https://api.spotify.com/v1/audio-analysis/14FpkTBexkWIoquqluEymo,184347,4,0.572,0.814,8,-4.249,1,0.0465,0.109,0.0,0.0844,0.688,176.061,audio_features,spotify:track:14FpkTBexkWIoquqluEymo,https://api.spotify.com/v1/tracks/14FpkTBexkWIoquqluEymo,https://api.spotify.com/v1/audio-analysis/14FpkTBexkWIoquqluEymo,184347,4
0.676,0.534,2,-6.901,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,audio_features,37jTPJgwCCmIGMPB45jrPV,spotify:track:37jTPJgwCCmIGMPB45jrPV,https://api.spotify.com/v1/tracks/37jTPJgwCCmIGMPB45jrPV,https://api.spotify.com/v1/audio-analysis/37jTPJgwCCmIGMPB45jrPV,338413,4,0.676,0.534,2,-6.901,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,audio_features,spotify:track:37jTPJgwCCmIGMPB45jrPV,https://api.spotify.com/v1/tracks/37jTPJgwCCmIGMPB45jrPV,https://api.spotify.com/v1/audio-analysis/37jTPJgwCCmIGMPB45jrPV,338413,4
0.66,0.62,11,-5.511,0,0.0416,3.62e-05,9.81e-05,0.337,0.668,130.04,audio_features,2U65MkD3KJl7MZqSxsMFTQ,spotify:track:2U65MkD3KJl7MZqSxsMFTQ,https://api.spotify.com/v1/tracks/2U65MkD3KJl7MZqSxsMFTQ,https://api.spotify.com/v1/audio-analysis/2U65MkD3KJl7MZqSxsMFTQ,227538,4,0.66,0.62,11,-5.511,0,0.0416,3.62e-05,9.81e-05,0.337,0.668,130.04,audio_features,spotify:track:2U65MkD3KJl7MZqSxsMFTQ,https://api.spotify.com/v1/tracks/2U65MkD3KJl7MZqSxsMFTQ,https://api.spotify.com/v1/audio-analysis/2U65MkD3KJl7MZqSxsMFTQ,227538,4
0.824,0.444,6,-7.098,0,0.0486,0.0706,0.0,0.0669,0.965,110.036,audio_features,0mFiwzFJsec770jabsJ4AB,spotify:track:0mFiwzFJsec770jabsJ4AB,https://api.spotify.com/v1/tracks/0mFiwzFJsec770jabsJ4AB,https://api.spotify.com/v1/audio-analysis/0mFiwzFJsec770jabsJ4AB,63493,4,0.824,0.444,6,-7.098,0,0.0486,0.0706,0.0,0.0669,0.965,110.036,audio_features,spotify:track:0mFiwzFJsec770jabsJ4AB,https://api.spotify.com/v1/tracks/0mFiwzFJsec770jabsJ4AB,https://api.spotify.com/v1/audio-analysis/0mFiwzFJsec770jabsJ4AB,63493,4
0.542,0.699,8,-6.029,1,0.306,0.401,0.0,0.105,0.687,76.391,audio_features,60VtX59NsRINDnObbDtH7G,spotify:track:60VtX59NsRINDnObbDtH7G,https://api.spotify.com/v1/tracks/60VtX59NsRINDnObbDtH7G,https://api.spotify.com/v1/audio-analysis/60VtX59NsRINDnObbDtH7G,161053,4,0.542,0.699,8,-6.029,1,0.306,0.401,0.0,0.105,0.687,76.391,audio_features,spotify:track:60VtX59NsRINDnObbDtH7G,https://api.spotify.com/v1/tracks/60VtX59NsRINDnObbDtH7G,https://api.spotify.com/v1/audio-analysis/60VtX59NsRINDnObbDtH7G,161053,4
0.906,0.583,8,-7.721,0,0.317,0.0569,0.0,0.126,0.829,129.056,audio_features,1D066zixBwqFYqBhKgdPzp,spotify:track:1D066zixBwqFYqBhKgdPzp,https://api.spotify.com/v1/tracks/1D066zixBwqFYqBhKgdPzp,https://api.spotify.com/v1/audio-analysis/1D066zixBwqFYqBhKgdPzp,292373,4,0.906,0.583,8,-7.721,0,0.317,0.0569,0.0,0.126,0.829,129.056,audio_features,spotify:track:1D066zixBwqFYqBhKgdPzp,https://api.spotify.com/v1/tracks/1D066zixBwqFYqBhKgdPzp,https://api.spotify.com/v1/audio-analysis/1D066zixBwqFYqBhKgdPzp,292373,4
0.731,0.853,10,-4.219,0,0.0363,0.0352,0.0,0.268,0.605,108.016,audio_features,1di1BEgJYzPvXUuinsYJGP,spotify:track:1di1BEgJYzPvXUuinsYJGP,https://api.spotify.com/v1/tracks/1di1BEgJYzPvXUuinsYJGP,https://api.spotify.com/v1/audio-analysis/1di1BEgJYzPvXUuinsYJGP,225360,4,0.731,0.853,10,-4.219,0,0.0363,0.0352,0.0,0.268,0.605,108.016,audio_features,spotify:track:1di1BEgJYzPvXUuinsYJGP,https://api.spotify.com/v1/tracks/1di1BEgJYzPvXUuinsYJGP,https://api.spotify.com/v1/audio-analysis/1di1BEgJYzPvXUuinsYJGP,225360,4
